AQSID,Parameter_name,Site_code,Site_name,Status,Agency_ID,Agency_name,EPA_region,Latitude,Longitude,Elevation,GMT_offset,Country_code,MSA_code,MSA_name,State_code,State_name,County_code,County_name,Extra_fields,Monitoring_Site_ID
840410030014,PM2.5,0014,Corvallis EPA Office,Active,OR1,Oregon Dept. of Environmental Quality,R10,44.565803,-123.292706,73.8,-8,US,NA,NA,41,OR,003,BENTON,|,41-003-0014
410090004,PM2.5,0004,Portland - Sauvie Island,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.768531,-122.7721,0,-8,US,38900,"Portland-Vancouver-Beaverton, OR-WA",41,OR,009,COLUMBIA,|,41-009-0004
410510080,PM2.5,0080,Portland - SE Lafayette,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.496641,-122.602877,75,-8,US,38900,"Portland-Vancouver-Beaverton, OR-WA",41,OR,051,MULTNOMAH,|,41-051-0080
160690012,PM2.5,0012,Lewiston,Active,ID1,Idaho Department of Environmental Quality,R10,46.408501,-116.991402,0,-8,US,30300,"Lewiston, ID-WA",16,ID,069,NEZ PERCE,|,16-069-0012
000101301,PM2.5,1301,Langley,Active,BC2,Metro Vancouver,CA,49.09556,-122.56694,82,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-1301
060670010,PM2.5,0010,Downtown Sacramento - T Street,Active,CA8,California Air Resources Board,R9,38.56844,-121.49311,0,-8,US,40900,"Sacramento--Arden-Arcade--Roseville, CA",06,CA,067,SACRAMENTO,|,06-067-0010
840132150012,PM2.5,0012,Columbus Baker Street,Active,GA1,Georgia Department of Natural Resources,R4,32.4274,-84.9457,0,-5,US,NA,NA,13,GA,215,MUSCOGEE,|,13-215-0012
CC0040901,PM2.5,0901,ST ANDREWS,Active,NB1,Canada-New Brunswick1,CA,45.086944,-67.073889,0,-4,CA,NA,NA,00,CC,004,NEW BRUNSWICK,|,00-004-0901
483091037,PM2.5,1037,Waco C1037,Active,TX1,Texas Commission on Environmental Quality,R6,31.6531,-97.0706,140.3,-6,US,47380,"Waco, TX",48,TX,309,MC LENNAN,|,48-309-1037
840060472024,PM2.5,2024,Merced-Vierra,Active,CA6,San Joaquin Valley Unified APCD,R9,37.28973,-120.42972,0,-8,US,32900,"Merced, CA",06,CA,047,MERCED,|,06-047-2024
840560391006,PM2.5,1006,Jackson SLAMS,Active,WY1,Wyoming Department of Environmental Quality,R8,43.457764,-110.797994,1902.3,-7,US,27220,"Jackson, WY-ID",56,WY,039,TETON,|,56-039-1006
800090101,PM2.5,0101,Pedregal,Active,MXC,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,MX,19.3251,-99.2041,2327.5,-6,MX,NA,NA,80,MX,009,DISTRITO FEDERAL,|,80-009-0101
460650003,PM2.5,0003,Pierre,Active,SD1,South Dakota Department of Agriculture and Natural Resources,R8,44.373786,-100.287269,0,-6,US,NA,NA,46,SD,065,HUGHES,|,46-065-0003
370650099,PM2.5,0099,LEGGETT,Active,NC1,North Carolina DEQ - Division of Air Quality,R4,35.988278,-77.5843,18,-5,US,40580,"Rocky Mount, NC",37,NC,065,EDGECOMBE,|,37-065-0099
420590002,PM2.5,0002,Holbrook,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,39.82,-80.2897,0,-5,US,NA,NA,42,PA,059,GREENE,|,42-059-0002
840420510524,PM2.5,0524,Uniontown,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,39.917663,-79.805499,0,-5,US,38300,"Pittsburgh, PA",42,PA,051,FAYETTE,|,42-051-0524
421330008,PM2.5,0008,York,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,39.9653,-76.6994,0,-5,US,49620,"York-Hanover, PA",42,PA,133,YORK,|,42-133-0008
180650003,PM2.5,0003,Mechanicsburg,Active,IN4,Indiana Dept. of Environmental Management,R5,40.009544,-85.52347,305.9,-5,US,35220,"New Castle, IN",18,IN,065,HENRY,|,18-065-0003
840180910011,PM2.5,0011,Michigan City - Marsh Elementary,Active,IN4,Indiana Dept. of Environmental Management,R5,41.70694,-86.89111,0,-6,US,NA,NA,18,IN,091,LA PORTE,|,18-091-0011
